                               Game of the Rope - Description of the internal state

Game 1
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
002  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
003   001 003  2 003  4 001  4 001  5 001  5   001 001  4 003  4 001  2 001  3 001  5 # # # . # # #  4 -1
003   001 001  2 003  4 001  4 001  5 001  5   001 001  4 003  4 001  2 001  3 001  5 # # # . # # #  4 -1
003   001 001  2 001  4 001  4 001  5 001  5   001 001  4 003  4 001  2 001  3 001  5 # # # . # # #  4 -1
003   001 001  2 001  4 001  4 001  5 001  5   001 001  4 001  4 001  2 001  3 001  5 # # # . # # #  4 -1
003   002 001  2 001  4 001  4 001  5 001  5   001 001  4 001  4 001  2 001  3 001  5 # # # . # # #  4 -1
003   002 001  2 001  4 001  4 001  5 001  5   002 001  4 001  4 001  2 001  3 001  5 # # # . # # #  4 -1
003   002 001  2 001  4 001  4 002  5 001  5   002 001  4 001  4 001  2 001  3 001  5 # # # . # # #  4 -1
003   002 001  2 001  4 001  4 003  5 001  5   002 001  4 001  4 001  2 001  3 001  5 3 # # . # # #  4 -1
003   002 001  2 001  4 001  4 003  5 002  5   002 001  4 001  4 001  2 001  3 001  5 3 # # . # # #  4 -1
003   002 001  2 001  4 001  4 003  5 003  5   002 001  4 001  4 001  2 001  3 001  5 3 4 # . # # #  4 -1
003   002 001  2 001  4 001  5 003  5 003  5   002 001  4 001  4 001  2 001  3 001  5 3 4 # . # # #  4 -1
003   002 001  3 001  4 001  5 003  5 003  5   002 001  4 001  4 001  2 001  3 001  5 3 4 # . # # #  4 -1
003   002 001  3 002  4 001  5 003  5 003  5   002 001  4 001  4 001  2 001  3 001  5 3 4 # . # # #  4 -1
003   002 001  3 003  4 001  5 003  5 003  5   002 001  4 001  4 001  2 001  3 001  5 3 4 1 . # # #  4 -1
003   002 001  3 003  4 001  5 003  5 003  5   002 002  4 001  4 001  2 001  3 001  5 3 4 1 . # # #  4 -1
003   003 001  3 003  4 001  5 003  5 003  5   002 002  4 001  4 001  2 001  3 001  5 3 4 1 . # # #  4 -1
003   003 001  3 003  4 001  5 003  5 003  5   002 002  4 001  4 001  2 002  3 001  5 3 4 1 . # # #  4 -1
003   003 001  3 003  4 001  5 003  5 003  5   002 003  4 001  4 001  2 002  3 001  5 3 4 1 . 0 # #  4 -1
003   003 001  3 003  4 001  5 003  5 003  5   002 003  4 001  4 002  2 002  3 001  5 3 4 1 . 0 # #  4 -1
003   003 001  3 003  4 001  5 003  5 003  5   002 003  4 001  4 002  2 003  3 001  5 3 4 1 . 0 3 #  4 -1
003   003 001  3 003  4 001  5 003  5 003  5   002 003  4 001  5 002  2 003  3 001  5 3 4 1 . 0 3 #  4 -1
003   003 001  3 003  4 001  5 003  5 003  5   002 003  4 001  5 003  2 003  3 001  5 3 4 1 . 0 3 2  4 -1
003   003 001  3 003  4 001  5 003  5 003  5   003 003  4 001  5 003  2 003  3 001  5 3 4 1 . 0 3 2  4 -1
004   003 001  3 003  4 001  5 003  5 003  5   003 003  4 001  5 003  2 003  3 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  4 001  5 003  5 003  5   003 003  3 001  5 003  2 003  3 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  4 001  5 003  5 003  5   003 003  3 001  5 003  2 003  3 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  4 001  5 003  5 003  5   003 003  3 001  5 003  1 003  3 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  4 001  5 003  5 003  5   003 003  3 001  5 003  1 003  3 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  4 001  5 003  4 003  5   003 003  3 001  5 003  1 003  3 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  4 001  5 003  4 003  5   003 003  3 001  5 003  1 003  3 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  4 001  5 003  4 003  5   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  4 001  5 003  4 003  5   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  3 001  5 003  4 003  5   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  3 001  5 003  4 003  5   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  3 001  5 003  4 003  4   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  3 001  5 003  4 003  4   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2  4 -2
004   003 001  3 003  3 001  5 003  4 003  4   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2  4 -2
005   003 001  3 003  3 001  5 003  4 003  4   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2  4 -2
Game 1 was won by team 0 by knockout out in 4 trials.
Game 2
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5       Trial        
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
001  #### ### ## ### ## ### ## ### ## ### ##  #### ### ## ### ## ### ## ### ## ### ## # # # . # # # ## ##
002   003 001  3 003  3 001  5 003  4 003  4   003 003  3 001  5 003  1 003  2 001  5 3 4 1 . 0 3 2 ## ##
003   003 001  3 003  3 001  5 003  4 003  4   003 003  3 001  5 003  1 003  2 001  5 # # # . # # #  1 ##
003   003 001  3 003  3 001  5 003  4 003  4   003 001  3 001  5 003  1 003  2 001  5 # # # . # # #  1 ##
003   001 001  3 003  3 001  5 003  4 003  4   003 001  3 001  5 003  1 003  2 001  5 # # # . # # #  1 ##
003   001 001  3 003  3 001  5 003  4 003  4   003 001  3 001  5 001  1 003  2 001  5 # # # . # # #  1 ##
003   001 001  3 003  3 001  5 003  4 003  4   001 001  3 001  5 001  1 003  2 001  5 # # # . # # #  1 ##
003   001 001  3 003  3 001  5 001  4 003  4   001 001  3 001  5 001  1 003  2 001  5 # # # . # # #  1 ##
003   001 001  3 003  3 001  5 001  4 003  4   001 001  3 001  5 001  1 001  2 001  5 # # # . # # #  1 ##
003   001 001  3 001  3 001  5 001  4 003  4   001 001  3 001  5 001  1 001  2 001  5 # # # . # # #  1 ##
003   001 001  3 001  3 001  5 001  4 001  4   001 001  3 001  5 001  1 001  2 001  5 # # # . # # #  1 ##
003   002 001  3 001  3 001  5 001  4 001  4   001 001  3 001  5 001  1 001  2 001  5 # # # . # # #  1 ##
003   002 001  3 001  3 001  5 001  4 001  4   002 001  3 001  5 001  1 001  2 001  5 # # # . # # #  1 ##
003   002 001  3 001  3 002  5 001  4 001  4   002 001  3 001  5 001  1 001  2 001  5 # # # . # # #  1 ##
003   002 001  3 001  3 003  5 001  4 001  4   002 001  3 001  5 001  1 001  2 001  5 2 # # . # # #  1 ##
003   002 001  4 001  3 003  5 001  4 001  4   002 001  3 001  5 001  1 001  2 001  5 2 # # . # # #  1 ##
003   002 001  4 001  3 003  5 002  4 001  4   002 001  3 001  5 001  1 001  2 001  5 2 # # . # # #  1 ##
003   002 001  4 001  3 003  5 003  4 001  4   002 001  3 001  5 001  1 001  2 001  5 2 3 # . # # #  1 ##
003   002 001  4 001  4 003  5 003  4 001  4   002 001  3 001  5 001  1 001  2 001  5 2 3 # . # # #  1 ##
003   002 001  4 001  4 003  5 003  4 002  4   002 001  3 001  5 001  1 001  2 001  5 2 3 # . # # #  1 ##
003   002 001  4 001  4 003  5 003  4 003  4   002 001  3 001  5 001  1 001  2 001  5 2 3 4 . # # #  1 ##
003   002 001  4 001  4 003  5 003  4 003  4   002 001  3 001  5 001  1 001  2 002  5 2 3 4 . # # #  1 ##
003   003 001  4 001  4 003  5 003  4 003  4   002 001  3 001  5 001  1 001  2 002  5 2 3 4 . # # #  1 ##
003   003 001  4 001  4 003  5 003  4 003  4   002 001  3 002  5 001  1 001  2 002  5 2 3 4 . # # #  1 ##
003   003 001  4 001  4 003  5 003  4 003  4   002 001  3 002  5 001  1 001  2 003  5 2 3 4 . 4 # #  1 ##
003   003 001  4 001  4 003  5 003  4 003  4   002 001  4 002  5 001  1 001  2 003  5 2 3 4 . 4 # #  1 ##
003   003 001  4 001  4 003  5 003  4 003  4   002 001  4 003  5 001  1 001  2 003  5 2 3 4 . 4 1 #  1 ##
003   003 001  4 001  4 003  5 003  4 003  4   002 001  4 003  5 001  2 001  2 003  5 2 3 4 . 4 1 #  1 ##
003   003 001  4 001  4 003  5 003  4 003  4   002 001  4 003  5 001  2 002  2 003  5 2 3 4 . 4 1 #  1 ##
